                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1018,                 1.1325,                 1.2001,                 0.8182,                0.73106,                0.81376,                0.62414,                 1.0096,                0.85227,                 1.1411,               0.070017,              0.0033315,              0.0033315
                      1,                 1.1852,                 1.1429,                 1.2483,                  0.674,                0.75601,                0.67876,                 0.4594,                 1.1828,                 1.1082,                 1.2812,               0.039885,              0.0065328,              0.0065328
                      2,                  1.355,                 1.3641,                 1.3692,                0.74369,                 0.5908,                0.67452,                0.45494,                 1.4122,                 1.3967,                 1.4875,              0.0096209,              0.0096022,              0.0096022
                      3,                 1.4866,                 1.5193,                 1.4602,                0.43397,                0.57997,                0.45061,                0.27684,                 1.4555,                 1.4998,                 1.5115,               0.009406,               0.009406,               0.009406
                      4,                 1.4468,                 1.4773,                 1.4426,                0.73934,                0.67326,                0.70054,                 0.4555,                 1.3664,                 1.3316,                 1.4334,               0.009406,               0.009406,               0.009406
                      5,                 1.4151,                 1.4075,                 1.4129,                 0.7948,                 0.6679,                0.74444,                0.51442,                 1.3397,                 1.2702,                  1.417,               0.009208,               0.009208,               0.009208
                      6,                 1.3812,                  1.366,                 1.4035,                0.79178,                0.72194,                0.76903,                0.54622,                 1.2718,                 1.1691,                 1.3633,                0.00901,                0.00901,                0.00901
                      7,                 1.3586,                 1.3247,                 1.3829,                0.81948,                0.66382,                0.76159,                 0.5396,                 1.2541,                 1.1552,                 1.3503,               0.008812,               0.008812,               0.008812
                      8,                 1.3209,                 1.2756,                  1.363,                0.73438,                0.72115,                0.77725,                0.53273,                 1.2596,                 1.1582,                 1.3639,               0.008614,               0.008614,               0.008614
                      9,                 1.3092,                 1.2522,                 1.3498,                0.82903,                0.72386,                0.77593,                0.57514,                 1.2195,                 1.1191,                 1.3346,               0.008416,               0.008416,               0.008416
                     10,                 1.2941,                 1.2317,                 1.3446,                0.83246,                0.77095,                0.80255,                0.56204,                 1.2177,                  1.109,                 1.3209,               0.008218,               0.008218,               0.008218
                     11,                 1.2734,                 1.1978,                 1.3237,                 0.8827,                0.71863,                 0.8148,                0.59945,                 1.1733,                 1.0543,                 1.3102,                0.00802,                0.00802,                0.00802
                     12,                 1.2639,                  1.182,                 1.3198,                0.84649,                0.74297,                0.82111,                0.60854,                 1.1806,                  1.028,                 1.3035,               0.007822,               0.007822,               0.007822
                     13,                 1.2482,                 1.1665,                 1.3038,                0.78221,                0.76785,                0.81361,                0.61162,                 1.1612,                 1.0165,                 1.2835,               0.007624,               0.007624,               0.007624
                     14,                 1.2337,                 1.1468,                 1.3007,                0.88119,                0.75225,                0.83098,                0.60269,                 1.1526,                 1.0261,                 1.2887,               0.007426,               0.007426,               0.007426
                     15,                 1.2209,                 1.1307,                 1.2948,                0.87996,                0.73027,                0.83031,                0.62393,                 1.1297,                0.98264,                 1.2627,               0.007228,               0.007228,               0.007228
                     16,                 1.2094,                 1.1171,                 1.2847,                0.80495,                0.78303,                 0.8337,                0.63291,                  1.115,                0.97726,                 1.2562,                0.00703,                0.00703,                0.00703
                     17,                 1.2012,                 1.0965,                 1.2853,                0.86343,                0.77368,                0.83718,                0.64733,                 1.1054,                0.95624,                 1.2491,               0.006832,               0.006832,               0.006832
                     18,                 1.1904,                 1.0956,                 1.2728,                0.88419,                0.75369,                 0.8411,                0.63032,                 1.1289,                0.97387,                  1.268,               0.006634,               0.006634,               0.006634
                     19,                  1.178,                 1.0691,                  1.266,                0.87865,                0.76449,                0.84381,                0.64334,                 1.1034,                0.95639,                 1.2405,               0.006436,               0.006436,               0.006436
                     20,                  1.171,                 1.0576,                 1.2586,                0.86904,                0.79177,                0.85306,                0.65518,                 1.0991,                0.91924,                 1.2366,               0.006238,               0.006238,               0.006238
                     21,                 1.1639,                 1.0459,                  1.257,                0.87626,                0.78855,                0.85634,                0.64753,                 1.0769,                0.91263,                 1.2254,                0.00604,                0.00604,                0.00604
                     22,                 1.1521,                 1.0246,                 1.2457,                0.88198,                0.79071,                0.85282,                 0.6666,                 1.0758,                0.89358,                 1.2249,               0.005842,               0.005842,               0.005842
                     23,                 1.1503,                  1.025,                  1.246,                0.89245,                0.75714,                 0.8547,                 0.6509,                  1.073,                0.89326,                 1.2281,               0.005644,               0.005644,               0.005644
                     24,                 1.1389,                 1.0086,                 1.2382,                0.85999,                0.78209,                0.84843,                0.63378,                  1.071,                0.88665,                 1.2332,               0.005446,               0.005446,               0.005446
                     25,                 1.1346,                0.99936,                 1.2334,                0.86382,                0.78112,                0.85983,                0.64011,                 1.0909,                0.88392,                 1.2306,               0.005248,               0.005248,               0.005248
                     26,                 1.1235,                0.98541,                 1.2251,                0.85507,                0.76936,                0.85684,                0.65247,                 1.0673,                0.87764,                 1.2214,                0.00505,                0.00505,                0.00505
                     27,                 1.1125,                0.96806,                 1.2171,                0.84618,                0.79496,                0.86327,                0.66587,                 1.0716,                0.86324,                 1.2178,               0.004852,               0.004852,               0.004852
                     28,                 1.1072,                0.95899,                 1.2162,                0.87834,                0.78855,                 0.8626,                  0.662,                 1.0557,                0.85179,                 1.2129,               0.004654,               0.004654,               0.004654
                     29,                 1.0967,                0.94966,                 1.2111,                0.84202,                0.80511,                0.85828,                0.65389,                  1.051,                0.85688,                 1.2087,               0.004456,               0.004456,               0.004456
                     30,                 1.0901,                0.93092,                  1.207,                0.89177,                0.75993,                0.86234,                0.65098,                 1.0593,                0.84906,                 1.2168,               0.004258,               0.004258,               0.004258
                     31,                 1.0863,                0.93564,                 1.2043,                0.88933,                0.80864,                0.86591,                0.66936,                 1.0365,                0.83699,                 1.2051,                0.00406,                0.00406,                0.00406
                     32,                 1.0763,                0.91453,                 1.1966,                0.88369,                0.80247,                0.86857,                0.66685,                 1.0312,                0.81937,                 1.1954,               0.003862,               0.003862,               0.003862
                     33,                 1.0705,                0.90907,                 1.1897,                0.87402,                0.80703,                0.86591,                0.67117,                 1.0372,                 0.8341,                 1.1942,               0.003664,               0.003664,               0.003664
                     34,                 1.0649,                0.89265,                 1.1824,                0.87561,                0.80031,                0.86725,                0.67105,                 1.0322,                0.82442,                 1.1961,               0.003466,               0.003466,               0.003466
                     35,                  1.049,                0.88201,                 1.1771,                0.85344,                 0.8117,                0.86336,                0.67363,                 1.0282,                0.82891,                 1.1922,               0.003268,               0.003268,               0.003268
                     36,                 1.0486,                0.87707,                 1.1755,                0.87628,                0.79639,                0.86732,                0.67403,                 1.0333,                0.81678,                 1.1945,                0.00307,                0.00307,                0.00307
                     37,                 1.0426,                0.86616,                 1.1724,                0.85657,                0.81231,                0.86642,                0.68265,                 1.0254,                0.82398,                 1.1896,               0.002872,               0.002872,               0.002872
                     38,                 1.0395,                0.85412,                 1.1678,                0.84796,                0.83126,                 0.8665,                0.67446,                 1.0299,                0.81439,                 1.1972,               0.002674,               0.002674,               0.002674
                     39,                 1.0212,                0.83796,                 1.1614,                0.87403,                0.79472,                0.86781,                0.67769,                 1.0214,                0.80801,                 1.1925,               0.002476,               0.002476,               0.002476
                     40,                0.95886,                0.76158,                 1.1668,                0.86807,                0.81006,                0.87086,                0.68052,                 1.0246,                0.80193,                 1.1949,               0.002278,               0.002278,               0.002278
                     41,                0.94785,                0.74861,                  1.162,                0.85445,                0.81034,                0.87161,                0.67967,                 1.0264,                 0.8074,                 1.1947,                0.00208,                0.00208,                0.00208
                     42,                0.93644,                0.72573,                 1.1496,                0.86347,                0.82642,                0.87201,                0.68042,                 1.0206,                0.79971,                 1.1928,               0.001882,               0.001882,               0.001882
                     43,                0.92153,                0.71241,                 1.1424,                0.87004,                0.82262,                0.87219,                0.68725,                 1.0231,                0.79093,                 1.1995,               0.001684,               0.001684,               0.001684
                     44,                0.91268,                0.69492,                 1.1325,                0.84299,                0.83799,                 0.8711,                0.68696,                 1.0315,                0.79404,                 1.2034,               0.001486,               0.001486,               0.001486
                     45,                0.89895,                 0.6733,                 1.1203,                0.88384,                0.80358,                0.87055,                0.68989,                 1.0318,                0.79354,                 1.2055,               0.001288,               0.001288,               0.001288
                     46,                0.88816,                0.65697,                 1.1159,                0.86174,                0.82722,                0.86992,                0.68549,                 1.0309,                0.80117,                 1.2095,                0.00109,                0.00109,                0.00109
                     47,                0.87486,                 0.6394,                 1.1071,                 0.8592,                 0.8302,                0.86966,                0.68866,                 1.0372,                0.80207,                 1.2115,               0.000892,               0.000892,               0.000892
                     48,                0.86907,                0.63111,                 1.1004,                0.84524,                0.82945,                0.86846,                0.68503,                 1.0356,                0.80026,                 1.2126,               0.000694,               0.000694,               0.000694
                     49,                0.85563,                0.61381,                 1.0908,                0.89104,                0.79232,                0.86792,                0.67811,                 1.0383,                0.80322,                 1.2144,               0.000496,               0.000496,               0.000496
